station,Longitude,Latitude,in itemset
A376,-42.14555555,-4.86416666,0
A365,-42.00888888,-8.11777777,0
A337,-43.32444443,-9.2861111,0
A361,-41.51222222,-5.34916666,0
A374,-45.17305554,-10.42916666,0
A338,-42.23694444,-3.90083333,0
A311,-43.01666666,-6.76666666,0
A364,-45.34638888,-9.87472221,0
A308,-41.78333333,-3.08638888,0
A330,-41.07999999,-8.07999999,0
A343,-41.40416666,-7.07083332,0
A331,-42.25083333,-8.36472222,0
A362,-42.7186111,-5.91111111,0
A345,-42.70055555,-9.03305554,0
A346,-44.34472221,-7.47472221,0
A363,-41.73999999,-6.39916666,0
A340,-37.815,-5.62638888,0
A302,-29.31666666,0.9,0
A316,-37.08888888,-6.45972222,0
A344,-35.45416666,-5.16,0
A372,-36.87222221,-5.53499999,0
A317,-36.57305554,-5.15111111,0
A318,-37.36694443,-4.90388888,0
A367,-36.02638888,-6.22777777,0
A409,-37.05,-10.95027777,0
A421,-36.48194443,-10.47944443,0
A420,-37.74722221,-10.39944444,0
A451,-37.47138888,-10.67166666,0
A453,-37.43194443,-10.20777777,0
A419,-38.10777777,-10.73749999,0
B803,-52.8025,-24.57083332,0
B806,-49.1575,-25.32222221,0
A849,-52.85888888,-22.63388888,0
A825,-53.03055554,-24.15833333,0
B804,-52.39194444,-25.36888888,0
A897,-50.14944444,-29.04888888,0
A884,-51.06416666,-29.67444443,0
A887,-52.40722222,-31.8025,0
A881,-54.61805554,-31.0025,0
A893,-52.52472221,-30.54305555,0
A883,-53.11194444,-28.65333333,0
A878,-50.90555555,-31.24777777,0
B807,-51.17805554,-30.1861111,0
A804,-55.61277777,-30.84249999,0
A899,-53.37138888,-33.74166666,0
A889,-54.69416666,-29.70194444,0
A894,-51.87055554,-28.70472222,0
A882,-51.82416666,-29.45027777,0
A886,-53.82666666,-29.89388888,0
A809,-57.08249999,-29.84249999,0
A898,-51.21583333,-27.3886111,0
A895,-52.63555555,-27.95527777,0
A865,-50.33555555,-27.80222222,0
A870,-49.04194444,-27.6786111,0
A657,-41.10694444,-20.10416666,0
A631,-40.73638888,-18.29166666,0
A632,-40.53972221,-19.40722222,0
A633,-41.18999999,-20.25222222,0
A634,-40.40416666,-20.46694443,0
A549,-41.45833333,-15.75222222,0
A534,-41.09083333,-19.53277777,0
A566,-45.03527777,-16.84888888,0
A565,-46.00861111,-20.0311111,0
F501,-43.95861111,-19.97999999,0
A564,-44.87472221,-20.17305554,0
S122,-59.82388888,3.35888888,0
A543,-42.82972221,-14.91277777,0
A550,-41.48527777,-16.57555554,0
A563,-43.29694444,-15.80277777,0
A559,-44.36638888,-15.44805555,0
A567,-45.94444444,-21.68083332,0
A539,-44.01611111,-15.08583333,0
A526,-44.01583333,-15.08583333,0
A506,-43.86666666,-16.71666666,0
A563,-43.29694444,-15.80277777,0
A570,-44.86444444,-20.71472222,0
A571,-46.88166666,-17.24416666,0
A562,-46.44055555,-18.52055554,0
A560,-44.96416666,-19.23249999,0
A551,-42.43527777,-15.72277777,0
A552,-42.31027777,-16.16027777,0
A561,-47.11416666,-20.91,0
A569,-44.17333332,-19.455,0
A568,-47.96166666,-19.71,0
A628,-44.30333333,-22.97583332,0
A620,-41.05166666,-22.04166666,0
A629,-42.60083333,-21.9386111,0
A635,-44.70305555,-22.37388888,0
A627,-43.10194444,-22.86749999,0
A637,-43.41777777,-22.34722221,0
A626,-44.04083333,-22.65361111,0
A636,-43.40277777,-22.93972221,0
A630,-42.01055555,-21.95055555,0
A620,-41.05194444,-22.04166666,0
A667,-42.60916666,-22.8711111,0
A667,-42.60888888,-22.8711111,0
A659,-42.41583333,-22.64583333,0
A625,-43.20861111,-22.09833333,0
A764,-48.48972221,-20.94916666,0
A764,-48.48999999,-20.94916666,0
A765,-46.14305555,-23.84499999,0
A744,-46.53055554,-23.95194444,0
A769,-45.00555555,-22.68888888,0
A706,-45.60388888,-22.75027777,0
C891,-79.49416666,-84.0,0
A762,-51.55222222,-21.45777777,0
A763,-49.965,-22.23527777,0
A707,-51.4,-22.11999999,0
A766,-47.86416666,-24.53305554,0
A771,-46.67805554,-23.72472221,0
A767,-45.4025,-23.81083333,0
A770,-47.57944443,-21.46111111,0
A768,-50.49027777,-21.92722221,0
A222,-44.23333333,-6.03333333,1
A931,-53.8836111,-14.92777777,1
A354,-42.14694444,-6.97416666,1
A754,-54.97194443,-20.98166666,1
A929,-54.95611111,-13.68638888,1
A545,-44.83555555,-17.25777777,1
A933,-54.83722221,-17.29722221,1
A915,-54.03527777,-14.42138888,1
A737,-48.66666666,-21.85555555,1
A218,-42.70722222,-2.59249999,1
A204,-46.02749999,-7.45527777,1
A872,-50.24555555,-24.23833333,1
A720,-54.73583333,-18.51222222,1
A741,-48.55722222,-22.37083332,1
A547,-45.12388888,-16.3625,1
A909,-53.22416666,-17.33944444,1
A930,-53.2575,-13.18472221,1
A210,-50.63805555,-3.8436111,1
A224,-47.41833332,-6.65333333,1
A927,-58.38722221,-12.87194443,1
A240,-49.37916666,-5.16722221,1
A221,-45.23694444,-5.50666666,1
A544,-46.43555555,-15.52416666,1
A755,-46.86916666,-23.52333332,1
A921,-50.72777777,-11.61888888,1
A548,-45.61666666,-15.31,1
A749,-54.60555555,-22.85722222,1
A717,-56.62305554,-18.98888888,1
A721,-54.91138888,-22.19388888,1
A727,-49.73416666,-21.66527777,1
A876,-52.34888888,-26.41722221,1
A237,-43.3436111,-4.82138888,1
A725,-48.94555555,-23.09972221,1
A546,-47.19944444,-17.56166666,1
A044,-48.11166666,-5.6436111,1
A850,-52.13444444,-22.49166666,1
A140,-68.73499999,-11.0236111,1
A736,-48.84027777,-21.13305554,1
A916,-52.19444444,-12.5986111,1
A722,-56.41666666,-20.38333333,1
A206,-43.35194444,-3.74277777,1
A538,-44.45361111,-18.76444444,1
A230,-50.14222221,-6.07749999,1
A032,-46.88972221,-13.24805555,1
A869,-52.93194443,-23.37583332,1
A751,-55.02416666,-23.96694443,1
A732,-54.55305555,-19.42027777,1
A733,-50.59499999,-20.165,1
A824,-53.63472221,-23.39027777,1
A924,-56.1,-9.84944444,1
A038,-46.84722221,-11.59416666,1
A556,-42.18277777,-20.26361111,1
A734,-50.93027777,-21.31916666,1
A013,-52.24388888,-15.90583333,1
A753,-47.77499999,-20.35944444,1
A223,-45.93194443,-9.10805555,1
A842,-50.57777777,-23.40694444,1
A113,-59.8886111,-7.21527777,1
A553,-46.11916666,-17.78472221,1
A871,-50.18055554,-23.77305554,1
A017,-46.36638888,-14.08916666,1
A748,-48.54472221,-20.55888888,1
A532,-41.97666666,-18.83027777,1
A730,-52.60277777,-18.80222222,1
A037,-48.61805554,-16.67694443,1
A752,-54.18166666,-23.44944444,1
A719,-55.78388888,-20.47555554,1
A731,-55.17777777,-21.60916666,1
A738,-47.07972221,-21.77972221,1
A735,-49.92055554,-21.08555555,1
A236,-49.49305555,-2.2486111,1
A022,-48.99027777,-15.22027777,1
A404,-45.82972221,-12.15222222,1
A822,-51.96305555,-24.43722221,1
A102,-69.92722221,-9.3575,1
A729,-49.96583333,-20.40305555,1
A922,-59.87277777,-15.06277777,1
A750,-55.32944443,-23.0025,1
A604,-41.95,-21.56666666,1
A027,-50.42527777,-16.94583333,1
A555,-44.01111111,-20.0311111,1
A908,-52.21222222,-14.01611111,1
A830,-56.01555555,-28.64944444,1
A743,-54.52805554,-21.77472221,1
A742,-51.72083332,-19.12249999,1
A542,-46.88194443,-16.55388888,1
A747,-48.11388888,-21.33833333,1
A104,-68.165,-9.95777777,1
A121,-58.48277777,-3.13305554,1
A912,-55.13555555,-15.52749999,1
A312,-42.80694444,-5.07388888,1
A936,-58.115,-15.13583333,1
A447,-39.21555555,-16.08805555,1
A034,-47.92638888,-18.15777777,1
A124,-57.75833333,-2.89638888,1
A847,-48.32583332,-25.49444444,1
A855,-53.74805555,-25.72194443,1
A934,-53.28749999,-17.81555555,1
A018,-48.55,-12.01666666,1
A846,-54.48305554,-25.60194444,1
A010,-47.87194443,-12.615,1
A709,-53.82722221,-22.30666666,1
A937,-59.34666666,-15.25111111,1
A557,-43.26111111,-21.54694444,1
A138,-70.57527777,-8.24194444,1
A932,-53.76611111,-16.34166666,1
A528,-45.45972222,-18.20055555,1
A035,-49.19194444,-18.40972222,1
A536,-45.59388888,-19.48166666,1
A852,-54.96222222,-28.41694443,1
A033,-48.28416666,-17.30416666,1
A233,-50.35027777,-9.3386111,1
A225,-47.45972222,-5.55555555,1
A716,-49.89416666,-22.9486111,1
A015,-49.53944444,-14.98027777,1
A235,-49.94277777,-4.23444444,1
A335,-41.77805554,-4.26388888,1
A023,-51.81749999,-16.96666666,1
A857,-53.50444444,-26.77666666,1
A011,-50.61666666,-18.96666666,1
A856,-53.31694443,-27.92166666,1
A241,-49.27416666,-8.25916666,1
A866,-48.81333333,-28.60416666,1
A606,-42.01666666,-22.98333333,1
A903,-56.66666666,-13.45,1
A045,-47.62583332,-15.59638888,1
A521,-43.96944443,-19.88388888,1
A554,-42.15361111,-19.73583333,1
A843,-53.09444444,-25.69472221,1
A704,-51.71222222,-20.78999999,1
A205,-47.45972222,-7.33722221,1
A211,-54.2461111,-3.8811111,1
A816,-52.85055555,-26.40694444,1
A904,-55.71666666,-12.55,1
A928,-57.15611111,-13.06555555,1
A826,-55.5261111,-29.71166666,1
A025,-50.98138888,-17.78583333,1
A112,-63.12138888,-7.92277777,1
A231,-55.99305555,-4.27638888,1
A012,-47.96638889,-16.27222222,1
A527,-41.51666666,-17.9,1
A914,-57.52666666,-11.28027777,1
A917,-55.56583333,-11.98222221,1
A726,-47.62305554,-22.70277777,1
A925,-63.47499999,-8.76388888,1
A835,-51.91666666,-23.40777777,1
A024,-47.52305554,-14.13305554,1
A623,-40.4075,-18.69527777,1
A833,-54.88555555,-29.19138888,1
A430,-41.77416666,-13.15583333,1
A512,-49.52499999,-18.95277777,1
A242,-51.8625,3.81361111,1
A906,-54.88333333,-9.95,1
A511,-42.62222221,-19.5736111,1
A540,-40.98583333,-18.78027777,1
A519,-49.51805554,-19.53916666,1
A831,-56.43722221,-30.3686111,1
A036,-47.61166666,-16.78805555,1
A019,-49.04972221,-11.74583333,1
A848,-53.63277777,-26.28638888,1
A110,-67.33222221,-8.77666666,1
A905,-57.83333333,-13.78333333,1
A940,-62.96194444,-9.94888888,1
